,Doctor's Name,speciality,Facility.Name,,
6865,"Stefanie Ammiano, NP",Nurse Practitioner,Mclaren Macomb,,
6866,"Stefanie Ammiano, NP",Nurse Practitioner,Edward W Sparrow Hospital,,
6867,"Dr. Samantha Stimmel, MD",Primary Care Doctor,Metro Health Hospital,,
6868,"Dr. Sherin Mermash, MD",Primary Care Doctor,Chippewa County War Memorial Hospital,,
6869,"Dr. Aran Degenhardt, MD, CAc",Primary Care Doctor,St John River District Hospital,,
6870,"Nargus Harounzadeh, DNP",Nurse Practitioner,Garden City Hospital,,
6871,"Dr. Shanna Levine, MD",Primary Care Doctor,Ascension Crittenton Hospital,,
6872,"Dr. Nadege Coupet, MD",Primary Care Doctor,St Joseph Mercy Chelsea,,
6873,"Jin Joo Hong, FNP",Nurse Practitioner,Southeast Michigan Surgical Hospital,,
6874,"Dr. Lada Galilova, DO",Primary Care Doctor,"Beaumont Hospital, Troy",,
6875,"Dr. Laurie Rice, MD",Primary Care Doctor,Beaumont Hospital - Taylor,,
6876,"Dr. Michael Bagner, MD",Primary Care Doctor,Detroit Receiving Hospital & Univ Health Center,,
6877,"Dr. Elizabeth Choi, DO",Family Physician,Healthsource Saginaw,,
6878,"Dr. Michael Felsen, MD",Primary Care Doctor,Huron Valley-sinai Hospital,,
6879,"Dr. Aran Degenhardt, MD, CAc",Primary Care Doctor,Brighton Hospital,,
6880,"Dr. Danijela Zotovic, MD",Primary Care Doctor,Karmanos Cancer Center,,
6881,"Dr. Laurie Rice, MD",Primary Care Doctor,Oakland Regional Hospital,,
6882,"Dr. Alexis Gopal, MD",Primary Care Doctor,Henry Ford West Bloomfield Hospital,,
6883,"Dr. Doron Katz, MD",Primary Care Doctor,Munson Healthcare Manistee Hospital,,
6884,"Dr. Shirin Peters, MD",Primary Care Doctor,Paul Oliver Memorial Hospital,,
6885,"Dr. Christina Jones, MD",Family Physician,Kalkaska Memorial Health Center,,
6886,"Dr. Jason Kindt, DO",Family Physician,Schoolcraft Memorial Hospital,,
6887,"Dr. Peter Charap, MD",Primary Care Doctor,Helen Newberry Joy Hospital,,
6888,"Dr. Mindy Satsky, MD",Primary Care Doctor,Saint Mary's Standish Community Hospital,,
6889,"Dr. Shirin Peters, MD",Primary Care Doctor,Mackinac Straits Hospital And Health Center,,
6890,"Dr. Mindy Satsky, MD",Primary Care Doctor,Baraga County Memorial Hospital,,
6891,"Dr. Naresh Rao, DO",Family Physician,Munising Memorial Hospital,,
6892,"Dr. Jyoti Kini, MD",Primary Care Doctor,"Aspirus Ontonagon Hospital, Inc",,
6893,"Dr. John Chuey, MD",Primary Care Doctor,Scheurer Hospital,,
6894,"Dr. Neelima Tangirala, MD",Internist,Deckerville Community Hospital,,
6895,"Lei (Amy) Zhu, PMHNP-BC",Adult Psychiatric & Mental Health Nurse Practitioner,Sheridan Community Hospital,,
6896,"Dr. Elizabeth Choi, DO",Family Physician,Harbor Beach Community Hospital,,
6897,"Dr. Nina Fallick, MD",Primary Care Doctor,Mckenzie Health System,,
6898,"Dr. Alexis Drullinsky, MD",Primary Care Doctor,Ascension Borgess Lee Hospital,,
6899,"Dr. Roberto Zambon, MD",Primary Care Doctor,Hills & Dales General Hospital,,
6900,"Dr. Andrew Fallis, MD",Primary Care Doctor,Spectrum Health Kelsey Hospital,,
6901,"Dr. Alexis Drullinsky, MD",Primary Care Doctor,"Aspirus Iron River Hospital & Clinics, Inc",,
6902,"Dr. Socrates Roedan, MD",Primary Care Doctor,Aspirus Keweenaw Hospital,,
6903,"Dr. Heather Viola, DO",Primary Care Doctor,Mercy Health Lakeshore Campus,,
6904,"Dr. Kathryn Alcarez, DO",Primary Care Doctor,Bell Hospital,,
6905,"Dr. Orit Beitner, MD",Primary Care Doctor,Munson Healthcare Charlevoix Hospital,,
6906,"Dr. Sammy Chitayat, MD",Internist,Spectrum Health Reed City Hospital,,
6907,"Dr. Doron Katz, MD",Primary Care Doctor,Eaton Rapids Medical Center,,
6908,"Dr. Howard Antosofsky, MD",Primary Care Doctor,Midmichigan Medical Center-gladwin,,
6909,"Dr. Julia Adamian, MD, FACP",Primary Care Doctor,Sparrow Clinton Hospital,,
6910,"Dr. Liana Dao, MD",Family Physician,Hayes Green Beach Memorial Hospital,,
6911,"Dr. Jessica Allan, MD",Primary Care Doctor,Allegan General Hospital,,
6912,"Lauren Falcone, NP",Adult Nurse Practitioner,Mclaren Caro Region,,
6913,"Dr. Zobidatte Moussa, MD",Internist,Marlette Regional Hospital,,
6914,"Dr. Ruth Johnson, MD",Primary Care Doctor,Sparrow Ionia Hospital,,
6915,"Dr. Kimberly Scotto, MD",Internist,Bronson Lakeview Hospital,,
6916,"Dr. Lada Galilova, DO",Primary Care Doctor,Aspirus Ironwood Hospital,,
6917,"Dr. Andrew Fallis, MD",Primary Care Doctor,Promedica Herrick Hospital,,
6918,"Dr. Michael Bagner, MD",Primary Care Doctor,St Francis Hospital,,
6919,"Dr. Peggy Rose Elango, DO",Primary Care Doctor,Spectrum Health Gerber Memorial,,
6920,"Dr. Jeffrey Paley, MD",Primary Care Doctor,Children's Hospital Of Michigan,,
6921,"Dr. Lada Galilova, DO",Primary Care Doctor,North Memorial Medical Center,,
6922,"Dr. Laura Bock, MD",Primary Care Doctor,Essentia Health St Mary's Medical Center,,
6923,"Dr. Justin Amarnani, MD",Primary Care Doctor,Hennepin County Medical Center 1,,
6924,"Dr. Jeffery Tun, MD",Primary Care Doctor,Olmsted Medical Center,,
6925,"Dr. Yevgeniy Vaynkof, MD",Primary Care Doctor,Mayo Clinic Hospital Rochester,,
6926,"Dr. Liana Dao, MD",Family Physician,Northfield Hospital,,
6927,"Dr. Karthik Karibandi, MD",Primary Care Doctor,Mayo Clinic Health System - Red Wing,,
6928,"Dr. Naresh Rao, DO",Family Physician,Essentia Health Duluth,,
6929,"Lauren Golfer, WHNP",Women's Health Nurse Practitioner,Cambridge Medical Center,,
6930,"Lauren Golfer, WHNP",Women's Health Nurse Practitioner,Sanford Worthington Medical Center,,
6931,"Dr. Khrystyna Kostsyuh, DDS",Prosthodontist,Douglas County Hospital,,
6932,"Dr. Maria Chartzoulakis, DMD",Prosthodontist,St Cloud Hospital,,
6933,"Dr. Udo H. Schutte, DDS",Prosthodontist,United Hospital,,
6934,"Dr. D. Timothy Culotta, DDS",Dentist,University Medical Center-mesabi/ Mesaba Clinics,,
6935,"Dr. Igor Chikunov, DDS",Prosthodontist,Mayo Clinic Health System - Albert Lea And Austin,,
6936,"Dr. Todd Bertman, DMD",Dentist,Winona Health Services,,
6937,"Dr. Hanna Zharkina, DDS",Prosthodontist,St Lukes Hospital,,
6938,"Dr. Anthony Lambrakos, DDS",Prosthodontist,Fairview Lakes Medical Center,,
6939,"Dr. Yelena Shapiro, DDS",Prosthodontist,Lake Region Healthcare Corporation,,
6940,"Dr. Steven Kauftheil, DDS",Prosthodontist,Park Nicollet Methodist Hospital,,
6941,"Dr. Michael J. Maresca, DDS",Prosthodontist,Ridgeview Medical Center,,
6942,"Dr. David Brisman, DMD",Prosthodontist,Abbott Northwestern Hospital,,
6943,"Dr. Loreta Geneviciute, DDS",Prosthodontist,Regina Hospital,,
6944,"Dr. Sherry Mei, DDS",Prosthodontist,St Joseph's Hospital,,
6945,"Dr. Asma Muzaffar, DDS, MPH, MS",Dentist,Grand Itasca Clinic And Hospital,,
6946,"Dr. E. Lisa Reid, DMD",Prosthodontist,Lakeview Memorial Hospital,,
6947,"Dr. Tammy Chen, DDS",Prosthodontist,Owatonna Hospital,,
6948,"Dr. Caroline Barsoum, DMD",Prosthodontist,District One Hospital,,
6949,"Dr. Marina Mats, DDS",Dentist,Essentia Health St Joseph's Medical Center,,
6950,"Dr. E. Lisa Reid, DMD",Prosthodontist,Buffalo Hospital,,
6951,"Dr. Tammy Chen, DDS",Prosthodontist,Fairview Southdale Hospital,,
6952,"Dr. Nicole Khalife, DDS",Dentist,"University Of Minnesota  Medical Center, Fairview",,
6953,"Dr. Alina Lane, DDS",Dentist,Essentia Health Virginia,,
6954,"Dr. Anthony Leonetti, DMD",Dentist,Carris Health Llc,,
6955,"Dr. Lorna Flamer-Caldera, DDS, FAGD",Dentist,Mayo Clinic Health System - Mankato,,
6956,"Dr. Justin Rashbaum, DMD",Dentist,Sanford Bemidji Medical Center,,
6957,"Dr. Caroline Barsoum, DMD",Prosthodontist,Essentia Health St Marys - Detroit Lakes,,
6958,"Dr. Marina Mats, DDS",Dentist,St Francis Regional Medical Center,,
6959,"Dr. Peter Mann, DDS, FAGD",Dentist,Regions Hospital,,
6960,"Dr. Devi Konar, DDS",Dentist,Mercy Hospital,,
6961,"Dr. Mehdi Aryan, DMD",Dentist,Fairview Northland Regional Hospital,,
6962,"Dr. Mazen Natour, DMD",Prosthodontist,Mayo Clinic Health System - Fairmont,,
6963,"Dr. Gerald Wank, DDS",Dentist,Hutchinson Health,,
6964,"Dr. Caroline Barsoum, DMD",Prosthodontist,Phillips Eye Institute,,
6965,"Dr. Michael Cafarella, DMD",Prosthodontist,Red Lake Hospital A,,
6966,"Dr. Elizabeth Heindel, DMD",Prosthodontist,Fairview Ridges Hospital,,
6967,"Dr. Arman Rokhsar, DDS",Prosthodontist,Healtheast St John's Hospital,,
6968,"Dr. Roman Roytberg, DDS",Dentist,Healtheast Woodwinds Hospital,,
6969,"Dr. Wynatte Chu, DDS",Dentist,Maple Grove Hospital,,
6970,"Dr. Reshma Jacob, DDS",Dentist,Mahnomen Health Center,,
6971,"Dr. Charles Marks, DDS",Dentist,Lakewood Health Center,,
6972,"Dr. Antonio Clares, DDS",Dentist,Sanford Westbrook Medical Center,,
6973,"Dr. Amir Shahabi, DDS",Dentist,Sanford Tracy Medical Center,,
6974,"Dr. Michael Cafarella, DMD",Prosthodontist,Sanford Medical Center Wheaton,,
6975,"Dr. Edward Wu, DDS",Dentist,Riverwood Healthcare Center,,
6976,"Dr. Jordan Reich, DDS",Dentist,Renville County Hospital And Clinics,,
6977,"Dr. Billy Choi, DDS",Dentist,Lake View Memorial Hospital,,
6978,"Dr. Mee Kyung (Michelle) Han, DMD",Dentist,Essentia Health Sandstone,,
6979,"Dr. Markelle Smith, DMD",Dentist,Ridgeview Sibley Medical Center,,
6980,"Dr. Lloyd Becker, DDS",Dentist,Cook Hospital,,
6981,"Dr. David Kroner, DDS",Dentist,Essentia Health Ada,,
6982,"Dr. Ziwei Gao, DDS",Dentist,Johnson Memorial Hospital,,
6983,"Dr. Gerald Wank, DDS",Dentist,Sanford Jackson Medical Center,,
6984,"Dr. Marlisa Popper, DDS",Prosthodontist,Bigfork Valley Hospital,,
6985,"Dr. Daniel Wank, DDS",Periodontist,North Shore Health,,
6986,"Dr. Edward Wong, DDS",Dentist,Ely Bloomenson Community Hospital,,
6987,"Dr. Herrick Lai, DDS",Dentist,Murray County Memorial Hospital,,
6988,"Dr. Charles Marks, DDS",Dentist,Riverview Hospital,,
6989,"Dr. Wonnie Rhieu, DDS, MS",Dentist,Essentia Health Holy Trinity Hospital,,
6990,"Dr. Samantha Shapiro, DMD",Dentist,Rainy Lake Medical Center,,
6991,"Dr. Uri Levy, DMD",Dentist,Madelia Community Hospital,,
6992,"Dr. Sonia Kohli, DDS",Dentist,Chippewa County Hospital,,
6993,"Dr. Rakhee Patel, DMD",Dentist,Centracare Health System - Long Prairie,,
6994,"Dr. James Kleinfelder, DDS",Dentist,Sleepy Eye Municipal Hospital,,
6995,"Dr. Gary Nord, DMD, FACP",Prosthodontist,Sanford Bagley Medical Center,,
6996,"Dr. Arti Patel Upadhyay, DDS",Dentist,Lakewood Health System,,
6997,"Dr. Alexander Shalman, DDS",Dentist,Centracare Health System - Melrose Hospital,,
6998,"Dr. Daniel Weiss, DDS",Dentist,Windom Area Hospital,,
6999,"Dr. Cheng Tai, DDS",Dentist,Mayo Clinic Health System - St James,,
7000,"Dr. Charley Levy, DDS",Dentist,River's Edge Hospital & Clinic,,
7001,"Dr. Cynthia Co Ting Keh, DDS",Dentist,St Elizabeth Medical Center,,
7002,"Dr. Tyler Smith, DMD",Dentist,Kittson Memorial Hospital,,
7003,"Dr. Mehdi Aryan, DMD",Dentist,North Valley Health Center,,
7004,"Dr. Lindsay Gadzik, DDS",Dentist,Mayo Clinic Health System - Lake City,,
7005,"Dr. Gary Orbach, DMD",Prosthodontist,Hendricks Community Hospital,,
7006,"Dr. Sofiya (Sonya) Krasilnikov, DDS",Dentist,Essentia Health Northern Pines Medical Center,,
7007,"Dr. Rachel Yang, DDS",Dentist,Appleton Municipal Hospital,,
7008,"Dr. Irina Sinensky, DDS",Dentist,Ortonville Area Health Services,,
7009,"Dr. Eric Chason, DDS",Dentist,Municipal Hospital And Granite Manor,,
7010,"Dr. Michael Kohl, DDS",Dentist,Lifecare Medical Center,,
7011,"Dr. Isabel Del Carpio, DDS",Dentist,Mayo Clinic Health System-waseca,,
7012,"Dr. Careen Fletcher, DMD",Dentist,Mayo Clinic Health System-cannon Falls,,
7013,"Dr. Steven Glassman, DDS",Dentist,Sanford Canby Medical Center,,
7014,"Dr. Alla Dorfman, DDS",Dentist,Avera Tyler Hospital,,
7015,"Dr. Jason Alster, DDS",Dentist,Centra Care Health Paynesville,,
7016,"Dr. William Wong, DDS",Dentist,Mercy Hospital,,
7017,"Dr. Marina Shimshi, DDS",Dentist,Redwood Area Hospital,,
7018,"Dr. Carolyn Morgan, DDS",Dentist,Mayo Clinic Health System-springfield,,
7019,"Dr. Mehran Morovati, DDS",Dentist,Cuyuna Regional Medical Center,,
7020,"Dr. Edward Mirzoian, DMD",Dentist,Tri County Hospital,,
7021,"Dr. Dmitriy Kuznetsov, DDS",Dentist,Glencoe Regional Health Services,,
7022,"Dr. Jonathan Okon, DMD",Dentist,Mille Lacs Health System,,
7023,"Dr. Bisma Sohail, DMD",Dentist,Essentia Health Fosston,,
7024,"Dr. Andrew Deutch, DDS",Dentist,Cass Lake Indian Health Services Hospital,,
7025,"Dr. Robert Lipschutz, DMD",Dentist,Avera Marshall Regional Medical Ctr,,
7026,"Dr. Alan B. Sheiner, DDS",Prosthodontist,Deer River Healthcare Center,,
7027,"Dr. Adam Nusblatt, DMD",Dentist,Mayo Clinic Health System-new Prague,,
7028,"Dr. Jacob (Jake) Donohue, DMD",Dentist,Centracare Health - Monticello,,
7029,"Dr. Erin Hong, DDS",Dentist,Stevens Community Medical Center,,
7030,"Dr. Daniel Noor, DMD",Dentist,Community Memorial Hospital,,
7031,"Dr. Karen Erani, DMD",Dentist,Swift County Benson Hospital,,
7032,"Dr. Francine Estrada, DDS",Dentist,Meeker Memorial Hospital,,
7033,"Dr. Raquel Nestorovski, DMD",Dentist,Firstlight Health System,,
7034,"Dr. Nicole Mermet, DMD",Dentist,Centracare Health System - Sauk Centre,,
7035,"Dr. Todd Goldstein, DDS",Dentist,United Hospital District,,
7036,"Dr. Kyle Jonna, DDS",Dentist,St Gabriels Hospital,,
7037,"Dr. Edward Alvarez, DDS, BA",Dentist,Sanford Luverne Medical Center,,
7038,"Dr. Michael Zemelman, DDS",Dentist,Madison Hospital,,
7039,"Dr. Jeffrey Schoenberg, DDS",Dentist,Perham Health,,
7040,"Dr. Yohan Kim, DMD, FICOI",Dentist,Pipestone County  Medical Center,,
7041,"Dr. Laura Koo Min Chee, DMD",Prosthodontist,Minnesota Valley Health Center  Inc,,
7042,"Dr. Careen Fletcher, DMD",Dentist,Glacial Ridge Hospital,,
7043,"Dr. Mitchell Sabbagh, DMD",Dentist,St Francis Medical Center,,
7044,"Dr. Adam Koppelman, DMD",Dentist,New Ulm Medical Center,,
7045,"Dr. Alexander Kimon, DMD",Dentist,Prairie Ridge Hospital And Health Services,,
7046,"Dr. Frank Orlando, DDS",Dentist,St Josephs Area  Health Services,,
7047,"Dr. Irwin Medina, DDS",Dentist,Sanford Medical Center Thief River Falls,,
7048,"Dr. Careen Fletcher, DMD",Dentist,Gillette Childrens Specialty Hospital,,
7049,"Dr. Romney Piamonte, DDS",Dentist,Children's Hospitals & Clinics Of Mn,,
7050,"Dr. Inna Chern, DDS",Dentist,Shriners Hospitals For Children - Twin Cities,,
7051,"Dr. Alex Gause, DDS",Dentist,University Of Mississippi Med Center,,
7052,"Dr. Yi-Ling Shiao, DDS",Dentist,Tishomingo Health Services Inc,,
7053,"Dr. Daniel Moezinia, DDS",Prosthodontist,North Mississippi Medical Center,,
7054,"Dr. Franklyn Aguebor, DMD",Dentist,Baptist Memorial Hospital Union County,,
7055,"Dr. Matthew Edwards, DDS",Dentist,Merit Health Biloxi,,
7056,"Dr. Christine Fernandez, DDS",Prosthodontist,Magnolia Regional Health Center,,
7057,"Dr. David Nusblatt, DMD",Dentist,Alliance Healthcare System,,
7058,"Dr. Shweta Verma, DDS",Dentist,Trace Regional Hosp And Swing Bed,,
7059,"Dr. Ziad Jalbout, DDS",Dentist,Jasper General Hospital,,
7060,"Dr. Jonathan Freed, DDS",Dentist,Memorial Hospital At Gulfport,,
7061,"Dr. Avo Samuelian, DDS",Dentist,Webster General Hospital/ Swing Bed,,
7062,"Dr. Scott Fine, DDS",Dentist,Gilmore Memorial Hospital,,
7063,"Dr. Ziwei Gao, DDS",Dentist,Winston Medical Center & Swingbed,,
7064,"Dr. Daniel Gattegno, DMD",Dentist,Merit Health River Region,,
7065,"Dr. Angela Lee, DDS",Dentist,Baptist Memorial Hospital North Ms,,
7066,"Dr. Mirjana Sadeghi, DDS",Dentist,George Regional Health System,,
7067,"Dr. Irina Reyzelman, DDS",Dentist,Merit Health Madison,,
7068,"Dr. Fan Mou, DDS",Dentist,Singing River Hospital,,
7069,"Dr. Natalie McCrackin, DDS",Dentist,Northwest Mississippi Medical Center,,
7070,"Dr. Evelyn Baran, DDS",Dentist,Neshoba County General Hospital,,
7071,"Dr. Steven Ritholtz, DDS",Dentist,Baptist Memorial Hospital Booneville,,
7072,"Dr. Steven Ritholtz, DDS",Dentist,St Dominic-jackson Memorial Hospital,,
7073,"Dr. Yenan Xu, DDS",Dentist,Beacham Memorial Hospital,,
7074,"Dr. Atish Patel, DDS",Dentist,Och Regional Medical Center,,
7075,"Dr. Shreshtha Ramanlal, DMD",Dentist,King's Daughters Medical Center-brookhaven,,
7076,"Dr. Deena Pegler, DMD",Dentist,South Central Reg Med Ctr,,
7077,"Dr. Daniel Noor, DMD",Dentist,Jefferson County Hospital,,
7078,"Dr. Jaskaren Randhawa, DMD",Dentist,Yalobusha General Hospital,,
7079,"Dr. Karen Altszuler, DDS",Dentist,Clay County Medical Center,,
7080,"Dr. Christine Ding, DMD",Dentist,Rush Foundation Hospital,,
7081,"Dr. Daniell Mishaan, DMD",Dentist,Merit Health Central,,
7082,"Dr. Preethi Chauhan, DDS",Dentist,Wayne General Hospital,,
7083,"Dr. George Gillen, DDS",Dentist,Forrest General Hospital,,
7084,"Dr. Antonio Cutlatsakes, DDS",Dentist,Sharkey Issaquena Community Hospital,,
7085,"Dr. Jason Bastida, DDS",Dentist,Anderson Rmc South,,
7086,"Dr. Kristen Gratzel, DMD",Dentist,Delta Regional Medical Center,,
7087,"Dr. Revital Kleiman, DDS",Dentist,Merit Health Natchez,,
7088,"Dr. Monika Kurzatkowski (Kulawik), DMD",Dentist,Marion General Hospital,,
7089,"Dr. Lenore Ribalt, DMD",Dentist,Bolivar Medical Center,,
7090,"Dr. Joseph Pantaleo, DDS",Dentist,Merit Health Wesley,,
7091,"Dr. Matthew Edwards, DDS",Dentist,South Sunflower County Hospital,,
7092,"Dr. Karina Zaygermakher, DMD",Dentist,Merit Health Rankin,,
7093,"Dr. Garo Nazarian, DDS",Dentist,Southwest Ms Regional Medical Center,,
7094,"Dr. Zoe Mattana, DDS",Dentist,Greenwood Leflore Hospital,,
7095,"Dr. Sonia Kohli, DDS",Dentist,Baptist Mem Hosp/ Golden Triangle Inc,,
7096,"Dr. Yuliya Rabinovich, DDS",Dentist,Mississippi Baptist Medical Center,,
7097,"Dr. Celeste McDonald, DDS",Dentist,Anderson Regional Medical Ctr,,
7098,"Dr. LuAnne Curatola, DDS",Dentist,Highland Community  Hospital,,
7099,"Dr. Jaime Bremnes, DMD",Dentist,Garden Park Medical Center,,
7100,"Dr. Farhad Vahidi, DMD, FACP, MSD",Prosthodontist,Magee General Hospital,,
7101,"Dr. Jenny Armstrong, DDS",Dentist,North Oak Regional Medical Center,,
7102,"Dr. Jaskaren Randhawa, DMD",Dentist,Choctaw Health Center,,
7103,"Dr. Judita Zibuts, DDS",Dentist,Panola Medical Center,,
7104,"Dr. Sharon Huang, DDS",Dentist,Whitfield Medical Surgical Hospital,,
7105,"Dr. Sandra Weinstein-Schoenbach, DMD",Dentist,Merit Health Women's Hospital,,
7106,"Dr. Katie Nemirovsky, DMD",Dentist,Merit Health River Oaks,,
7107,"Dr. Dong-Jin Shin, DMD",Dentist,Baptist Memorial Hospital Desoto,,
7108,"Dr. Robert Zarabi, DDS",Oral Surgeon,Alliance Health Center,,
7109,"Dr. Annie Xu, DMD",Dentist,Mississippi Methodist Rehab Ctr,,
7110,"Dr. Hyun Kyu Song, DDS",Dentist,Ochsner Medical Center-hancock,,
7111,"Dr. Zoe Mattana, DDS",Dentist,Patients Choice Medical Center,,
7112,"Dr. Kate Brayman, DDS",Dentist,Methodist Healthcare - Olive Branch Hospital,,
7113,"Dr. Komal Suri, DDS",Dentist,University Of Mississippi Medical Center- Grenada,,
7114,"Dr. Sanjay Jagani, DDS, BDS",Dentist,S E Lackey Memorial Hospital,,
7115,"Dr. K George Lee, DDS",Dentist,Monroe Regional Hospital,,
7116,"Dr. Sara Jeffrey, DMD",Dentist,Stone County Hospital,,
7117,"Dr. Olga Sobol, DDS",Dentist,Tallahatchie Critical Access Hospital,,
7118,"Dr. Behnaz Garemani, DDS",Dentist,Lawrence County Hospital Cah,,
7119,"Dr. Natalie McCrackin, DDS",Dentist,Perry County General Hosp,,
7120,"Dr. Bisma Sohail, DMD",Dentist,Noxubee General Critical Access Hosp,,
7121,"Dr. Elena Bruck, MD",Psychiatrist,Pontotoc Health Service Cah,,
7122,"Dr. Jacob Leivent, MD",Psychiatrist,Field Health System,,
7123,"Dr. Phoebus Jim Dhrymes, MD",Psychiatrist,Tyler Holmes Memorial Hospital Cah,,
7124,"Dr. Susan Fiester, MD",Psychiatrist,Baptist Medical Center Yazoo,,
7125,"Dr. Emily Urbina, MD",Psychiatrist,Quitman County Hospital Cah,,
7126,"Dr. Jeffrey Ditzell, DO",Psychiatrist,Baptist Medical Center-leake,,
7127,"Dr. Arnab Datta, MD",Psychiatrist,H C Watkins Memorial Hospital Inc,,
7128,"Dr. Zlatin Ivanov, MD",Psychiatrist,Simpson General Hospital Cah,,
7129,"Dr. Gordon Jay Strauss, MD",Psychiatrist,North Sunflower Medical Center Cah,,
7130,"Dr. Gordon Jay Strauss, MD",Psychiatrist,Holmes County Hospital And Clinics,,
7131,"Dr. Emily Urbina, MD",Psychiatrist,Claiborne County Hospital,,
7132,"Dr. Sudhir Gadh, MD",Psychiatrist,Laird Hospital Inc,,
7133,"Dr. Alexander Sheppe, MD",Psychiatrist,Scott Regional Hospital Cah,,
7134,"Dr. William Gilson, MD",Psychiatrist,Walthall County General Hospital Cah,,
7135,"Dr. Cameron Mahle, MD",Psychiatrist,Covington County Hospital Cah,,
7136,"Dr. Edward Paul, MD",Psychiatrist,Jefferson Davis Community Hospital Cah,,
7137,"Avishay Adri, NP",Adult Psychiatric & Mental Health Nurse Practitioner,Copiah County Medical Center,,
7138,"Dr. Nicholas Wisnoski, MD",Psychiatrist,Greene County Hospital Cah,,
7139,"Dr. Anthony Lujack, MD, JD, MS",Psychiatrist,Franklin County Memorial Hospital,,
7140,"Dr. Nicholas Wisnoski, MD",Psychiatrist,Bmh-calhoun,,
7141,"Dr. Zlatin Ivanov, MD",Psychiatrist,Pearl River County Hospital & Nursing Home,,
7142,"Dr. Anthony Lujack, MD, JD, MS",Psychiatrist,Choctaw Regional Medical Center,,
7143,"Dr. Gordon Jay Strauss, MD",Psychiatrist,John C Stennis Memorial Hospital,,
7144,"Dr. Nicholas Wisnoski, MD",Psychiatrist,Baptist Medical Center - Attala,,
7145,"Dr. Ziv Cohen, MD",Psychiatrist,Tippah County Hospital,,
7146,"Dr. Nivea Calico, MD",Psychiatrist,Mercy Hospital Joplin,,
7147,"Dr. Daniel Goodman, MD",Psychiatrist,Cooper County Community Hospital,,
7148,"Dr. Gary R. Brendel, MD",Psychiatrist,Ssm Health St Joseph Hospital-st Charles,,
7149,"Sarah Delaney, NP",Adult Psychiatric & Mental Health Nurse Practitioner,Mosaic Life Care At St Joseph,,
7150,"Dr. Gregory Sayer, MD",Psychiatrist,Bothwell Regional Health Center,,
7151,"Dr. Zlatin Ivanov, MD",Psychiatrist,Ssm Health St. Mary's Hospital - Jefferson City,,
7152,"Dr. Ziv Cohen, MD",Psychiatrist,Phelps County Regional Medical Center,,
7153,"Dr. Nivea Calico, MD",Psychiatrist,Mercy Hospital St Louis,,
7154,"Dr. Roxanna Namavar, DO",Psychiatrist,Northeast Regional Medical Center,,
7155,"Dr. Marc Epstein, DO",Psychiatrist,Mercy Hospital Jefferson,,
7156,"Dr. Marc Epstein, DO",Psychiatrist,Texas County Memorial Hospital,,
7157,"Dr. Thomas Finch, MD",Psychiatrist,Hannibal Regional Hospital,,
7158,"Dr. Brian Buggie, MD",Psychiatrist,Research Medical Center,,
7159,"Dr. Brian Buggie, MD",Psychiatrist,Barnes Jewish Hospital,,
7160,"Dr. Roger Brunswick, MD",Psychiatrist,Bates County Memorial Hospital,,
7161,"Dr. Robert Steinmuller, MD",Psychiatrist,Cox Medical Centers,,
7162,"Dr. Goksin Ozkarahan, MD",Psychiatrist,Capital Region Medical Center,,
7163,"Dr. Zorica Filipovic-Jewell, MD",Psychiatrist,Truman Medical Center Hospital Hill,,
7164,"Dr. Elizabeth L. Leung, DO",Psychiatrist,Ssm Health St Francis Hospital - Maryville,,
7165,"Dr. Michael Colin, MD",Psychiatrist,Mercy Hospital Washington,,
7166,"Dr. Michael Colin, MD",Psychiatrist,Cameron Regional Medical Center,,
7167,"Dr. Constance Mennella, DO",Psychiatrist,Mercy Hospital Lebanon,,
7168,"Dr. Konstantin Nikiforov, MD",Psychiatrist,Nevada Regional Medical Center,,
7169,"Dr. Konstantin Nikiforov, MD",Psychiatrist,Saint Lukes North Hospital,,
7170,"Dr. Jamey Levy, MD",Psychiatrist,Ssm Health St. Mary's Hospital-audrain,,
7171,"Dr. Niles Drake, MD",Psychiatrist,Mercy Hospital Springfield,,
7172,"Dr. Edward Fruitman, MD",Psychiatrist,Boone Hospital Center,,
7173,"Jordana Cotton, DNP",Adult Psychiatric & Mental Health Nurse Practitioner,Pemiscot County Memorial Hospital,,
7174,"Dr. Randall Ross, MD",Psychiatrist,Moberly Regional Medical Center,,
7175,"Dr. Marc Lener, MD",Psychiatrist,St Anthony's Medical Center,,
7176,"Dr. Laura Baur, MD",Psychiatrist,Ozarks Medical Center,,
7177,"Dr. Pablo Sanchez-Barranco, MD",Psychiatrist,Southeast Health Center Of Ripley County,,
7178,"Dr. Aykut Ozden, MD",Psychiatrist,Ssm Health St Clare Hospital - Fenton,,
7179,"Christina Hollingsworth, NP",Family Psychiatric & Mental Health Nurse Practitioner,St Joseph Medical Center,,
7180,"Dr. Yihou (Mike) Zhou, MD",Psychiatrist,Ssm Health St Mary's Hospital - St Louis,,
7181,"Dr. Shimon Schwartz, MD",Psychiatrist,Cox Medical Center Branson,,
7182,"Dr. Eileen DiFrancesco, MD",Psychiatrist,Centerpoint Medical Center,,
7183,"Dr. Mark Rybakov, DO",Psychiatrist,North Kansas City Hospital,,
7184,"Dr. Howard Welsh, MD",Psychiatrist,Western Missouri Medical Center,,
